Name,Age,Salary,Purchased
Christopher,55.0,94856,Yes
Qasim,40.0,135037,Yes
Vansha,40.0,140360,Yes
Shari,39.0,83065,Yes
Advika,60.0,147322,Yes
Joe,32.0,38994,No
Stephanie,,105213,Yes
Brandi,59.0,55266,Yes
Advika,21.0,72089,No
Heather,28.0,90840,Yes
Jagat,61.0,74015,No
Kurt,50.0,43024,No
Gina,46.0,125209,Yes
Hannah,46.0,54170,Yes
Michael,33.0,33668,No
Theodore,48.0,138656,Yes
Vanya,49.0,141337,No
Suhani,22.0,104682,Yes
Robert,40.0,76662,Yes
Katherine,58.0,95275,Yes
Yug,22.0,93242,No
Sanya,22.0,140052,Yes
Christian,45.0,121360,No
David,60.0,31461,No
Mason,39.0,126407,Yes
Falak,47.0,63590,Yes
Darren,,92760,Yes
Vrinda,61.0,84204,No
Yashvi,31.0,127069,Yes
Lindsey,54.0,42734,No
David,21.0,48445,No
Stephen,32.0,140677,No
Turvi,64.0,110010,Yes
Jennifer,65.0,121110,No
Jonathan,48.0,108109,No
Tejas,44.0,120272,Yes
Chakradev,30.0,74634,Yes
Melvin,,47398,Yes
Darpan,62.0,138072,No
Urmi,31.0,125814,Yes
Bhavini,39.0,120703,Yes
Hector,60.0,48684,No
Osha,32.0,25463,Yes
Victoria,49.0,90225,Yes
Shane,20.0,104689,Yes
Nicholas,57.0,111438,No
Ijaya,25.0,103802,Yes
Pranav,55.0,61452,Yes
Allison,33.0,31411,No
Aarush,,70746,No
Chanchal,62.0,100771,Yes
Emily,25.0,31426,No
Amanda,30.0,113092,No
Yug,64.0,102983,Yes
Michael,49.0,123216,Yes
Jacob,25.0,125730,No
Azad,44.0,132513,No
Christina,55.0,33509,No
Wridesh,64.0,137644,No
Ekalinga,53.0,52504,Yes
Bahadurjit,26.0,99890,Yes
Carla,25.0,88394,Yes
Yash,65.0,62642,No
Neelima,36.0,93864,Yes
Jimmy,28.0,105516,Yes
Daksh,60.0,90239,No
Yahvi,59.0,55503,Yes
Jim,20.0,40493,No
Barbara,27.0,121661,Yes
Joel,46.0,79269,No
Timothy,60.0,52831,No
Kevin,38.0,58347,Yes
Parth,52.0,97088,No
Angela,,114893,No
Hemangini,56.0,105739,Yes
Kristi,32.0,68321,Yes
Heather,50.0,145083,No
Edward,,42793,No
Ivan,54.0,142431,No
John,46.0,146607,Yes
Charita,39.0,99048,Yes
Ubika,54.0,27453,No
Nitara,42.0,33678,Yes
Angela,21.0,69453,Yes
Lipika,30.0,99839,Yes
Aadhya,27.0,138324,Yes
Ganga,40.0,118040,No
Shivani,51.0,139956,No
Christopher,39.0,53329,Yes
Charan,43.0,127884,No
Nicholas,25.0,83166,Yes
Elijah,52.0,45195,No
Teerth,53.0,65679,Yes
Jason,26.0,132759,Yes
Kevin,28.0,51894,Yes
Siddharth,65.0,138352,Yes
Jacob,,147203,No
Robin,25.0,68684,No
Mekhala,,93233,Yes
Ekanta,21.0,100701,Yes
Oscar,33.0,67058,No
Kyle,54.0,66831,Yes
William,37.0,44571,No
Steven,59.0,98351,Yes
Kathleen,42.0,97006,No
Robin,65.0,130382,No
Lawrence,24.0,65812,Yes
Timothy,48.0,31648,No
Amol,63.0,31613,No
Angela,,80897,No
Kenneth,57.0,107505,Yes
Forum,59.0,71612,No
Ladli,65.0,124405,Yes
Xalak,49.0,99421,No
Jonathan,64.0,86377,No
Tammy,61.0,118089,Yes
Steven,34.0,43837,Yes
Gary,43.0,76390,No
Jack,41.0,128386,Yes
Bahadurjit,51.0,28966,No
Chanakya,50.0,85455,Yes
Nitara,42.0,104225,Yes
Vihaan,45.0,132158,Yes
Matthew,55.0,110124,No
Tejas,49.0,77535,Yes
Nathaniel,35.0,96820,No
Donna,24.0,69658,No
Abeer,47.0,127801,Yes
Alexander,41.0,96372,Yes
Amanda,62.0,35209,Yes
Andre,51.0,39984,Yes
Linda,55.0,37799,Yes
Hredhaan,45.0,34123,Yes
Manthan,58.0,126101,Yes
Rehaan,61.0,111529,No
Lisa,28.0,141295,Yes
Laura,20.0,124231,No
Kashvi,54.0,63207,No
Stephen,32.0,51956,Yes
Upkaar,56.0,129116,Yes
Gabriella,47.0,119082,Yes
Azad,25.0,101379,No
Nidra,45.0,136101,No
Nicholas,43.0,143105,Yes
Brian,,117190,Yes
Onveer,27.0,137885,No
Xalak,,81585,Yes
Deanna,40.0,118293,No
Ariel,54.0,52684,Yes
Brijesh,32.0,97800,No
Siddharth,46.0,45220,No
Joseph,28.0,42600,No
Avni,29.0,119547,Yes
Praneel,28.0,36097,No
Alexis,49.0,142123,Yes
Maanas,47.0,106690,No
Sarah,55.0,132488,No
Francisco,31.0,80675,Yes
Lopa,35.0,118340,Yes
Patrick,54.0,100543,No
Farhan,56.0,88342,Yes
Brian,50.0,115504,No
Jesse,53.0,137636,Yes
Harini,49.0,92757,No
Tanya,25.0,57142,No
Anthony,62.0,35234,Yes
Kristen,57.0,65959,Yes
Tracy,54.0,127043,No
Angela,50.0,100230,Yes
Ryan,38.0,62907,No
Christopher,58.0,123228,No
Lauren,36.0,33050,Yes
Fitan,56.0,31765,Yes
Eric,59.0,28578,No
Lopa,,91269,No
Michael,36.0,42372,Yes
Abdul,36.0,26861,Yes
Sean,57.0,121857,No
Curtis,31.0,59242,Yes
Rachit,31.0,129775,Yes
Shane,,36062,Yes
Dakota,29.0,134787,No
Irya,44.0,56188,Yes
Ekta,30.0,52637,Yes
Alexander,23.0,109182,No
Paul,23.0,46967,No
Xavier,50.0,122799,Yes
Lajita,34.0,74781,Yes
Liam,36.0,44025,Yes
Kevin,38.0,146532,Yes
Dustin,40.0,94501,Yes
Radhika,,145286,Yes
Robert,47.0,105017,Yes
Kirsten,41.0,60432,No
Johnathan,,110766,Yes
Warhi,63.0,123184,No
Tanvi,32.0,93151,No
Krishna,31.0,66060,Yes
Adam,24.0,26567,No
Martin,63.0,83450,No
Linda,36.0,50307,No
Scott,23.0,148011,Yes
Lisa,33.0,149582,Yes
Charita,27.0,36322,Yes
Carrie,62.0,125120,Yes
Varenya,31.0,142440,No
Gregory,38.0,86204,Yes
Tanya,,84433,Yes
Jessica,47.0,115730,Yes
Tammy,40.0,58729,No
Eshana,,126856,No
Juan,23.0,58847,Yes
Michael,48.0,34096,No
Pranit,59.0,76463,No
Triya,29.0,95861,Yes
Raksha,61.0,38926,Yes
Marie,26.0,29569,No
Nilima,36.0,126874,No
Donald,29.0,110572,Yes
John,62.0,76181,No
Pallavi,45.0,100319,No
Charles,51.0,87670,No
Brandi,24.0,95795,No
Amy,64.0,132213,Yes
Jacqueline,54.0,147557,Yes
Ikbal,39.0,77509,No
Isha,61.0,36883,No
Chaitanya,41.0,35545,Yes
Tammy,38.0,109907,No
Tammy,44.0,111603,No
